TITLE     = "Periodic hill 513x257"
VARIABLES = "x corner"
"y corner"
ZONE T="I513_J257_g3.0_a0.5"
 I=513, J=257, K=1,F=POINT
DT=(SINGLE SINGLE )
  3.445059960E-04  2.806750407E-02
  6.890192539E-04  2.806745624E-02
  1.033539655E-03  2.806734704E-02
  1.378075762E-03  2.806727671E-02
  1.722643093E-03  2.806734550E-02
  2.067266151E-03  2.806760689E-02
  2.411987248E-03  2.806774030E-02
  2.756857890E-03  2.806724464E-02
  3.101909284E-03  2.806525605E-02
  3.447083140E-03  2.806001618E-02
  3.792464563E-03  2.804968994E-02
  4.137939689E-03  2.803368456E-02
  4.483331640E-03  2.801250846E-02
  4.829206574E-03  2.798645226E-02
  5.174889009E-03  2.795506631E-02
  5.520688956E-03  2.791753186E-02
  5.866943980E-03  2.787310534E-02
  6.212621045E-03  2.782151089E-02
  6.559260471E-03  2.776191803E-02
  6.905622963E-03  2.769411871E-02
  7.251284774E-03  2.761781703E-02
  7.598967312E-03  2.753154613E-02
  7.945106149E-03  2.743605383E-02
  8.292053338E-03  2.732984502E-02
  8.639531449E-03  2.721239834E-02
  8.984693951E-03  2.708487955E-02
  9.333212074E-03  2.694357338E-02
  9.679773054E-03  2.679183890E-02
  1.002546639E-02  2.662962732E-02
  1.037350627E-02  2.645490966E-02
  1.071891139E-02  2.627214617E-02
  1.106596788E-02  2.607809317E-02
  1.141263532E-02  2.587492923E-02
  1.175719602E-02  2.566509942E-02
  1.210500780E-02  2.544342297E-02
  1.245071440E-02  2.521617580E-02
  1.279645616E-02  2.498129878E-02
  1.314302917E-02  2.473826304E-02
  1.348790003E-02  2.449093242E-02
  1.383440288E-02  2.423530429E-02
  1.418028303E-02  2.397510052E-02
  1.452623075E-02  2.371018809E-02
  1.487533279E-02  2.343649430E-02
  1.522396390E-02  2.316007227E-02
  1.557450716E-02  2.287728079E-02
  1.592630905E-02  2.258956800E-02
  1.627797484E-02  2.229995079E-02
  1.663291144E-02  2.200306855E-02
  1.698801637E-02  2.170465765E-02
  1.734410916E-02  2.140332338E-02
  1.770204810E-02  2.109803725E-02
  1.806033721E-02  2.079208474E-02
  1.842052155E-02  2.048308414E-02
  1.878174340E-02  2.017308570E-02
  1.914374933E-02  1.986287470E-02
  1.950754344E-02  1.955111537E-02
  1.987226986E-02  1.924001957E-02
